run,det,des,keypoints,det_time_ms,des_time_ms,size_mu,size_std,matches
6,ORB,BRISK,500,0.00790397,0.00162236,53.9246,546.47,92
7,ORB,BRISK,500,0.00790873,0.00157175,53.9246,546.47,90
8,ORB,BRISK,500,0.00796763,0.00161139,53.9246,546.47,88
9,ORB,BRISK,500,0.00750942,0.00177405,53.9246,546.47,91
0,ORB,BRIEF,500,0.00790253,0.0051491,53.9246,546.47,0
1,ORB,BRIEF,500,0.00750376,0.00476268,53.9246,546.47,67
2,ORB,BRIEF,500,0.00760316,0.00477142,53.9246,546.47,70
3,ORB,BRIEF,500,0.0073038,0.00633489,53.9246,546.47,72
4,ORB,BRIEF,500,0.00738436,0.0057274,53.9246,546.47,84
5,ORB,BRIEF,500,0.0073273,0.00462198,53.9246,546.47,91
6,ORB,BRIEF,500,0.00741447,0.00472086,53.9246,546.47,101
7,ORB,BRIEF,500,0.00885754,0.00566956,53.9246,546.47,92
8,ORB,BRIEF,500,0.00739568,0.00572639,53.9246,546.47,93
9,ORB,BRIEF,500,0.00761855,0.00466286,53.9246,546.47,93
0,ORB,ORB,500,0.00768378,0.000501914,53.9246,546.47,0
1,ORB,ORB,500,0.00893394,0.0010501,53.9246,546.47,49
2,ORB,ORB,500,0.00729976,0.000540123,53.9246,546.47,43
3,ORB,ORB,500,0.0073599,0.000602794,53.9246,546.47,45
4,ORB,ORB,500,0.00785949,0.000567029,53.9246,546.47,59
5,ORB,ORB,500,0.00727326,0.00059836,53.9246,546.47,53
6,ORB,ORB,500,0.00753968,0.000649639,53.9246,546.47,78
7,ORB,ORB,500,0.00739142,0.000671651,53.9246,546.47,68
8,ORB,ORB,500,0.00729256,0.000695533,53.9246,546.47,84
9,ORB,ORB,500,0.0100542,0.000769784,53.9246,546.47,66
0,ORB,FREAK,500,0.00743974,0.000912547,53.9246,546.47,0
1,ORB,FREAK,500,0.00751246,0.000536986,53.9246,546.47,49
2,ORB,FREAK,500,0.00759438,0.00058952,53.9246,546.47,43
3,ORB,FREAK,500,0.00720827,0.000575697,53.9246,546.47,45
4,ORB,FREAK,500,0.00763391,0.000555564,53.9246,546.47,59
5,ORB,FREAK,500,0.00728744,0.000657949,53.9246,546.47,53
6,ORB,FREAK,500,0.0074027,0.000665079,53.9246,546.47,78
7,ORB,FREAK,500,0.00768019,0.000625667,53.9246,546.47,68
8,ORB,FREAK,500,0.007497,0.000601222,53.9246,546.47,84
9,ORB,FREAK,500,0.00747824,0.000614793,53.9246,546.47,66
0,ORB,AKAZE,500,0.00796005,0.000892714,53.9246,546.47,0
1,ORB,AKAZE,500,0.00741454,0.000556023,53.9246,546.47,49
2,ORB,AKAZE,500,0.00746517,0.00057424,53.9246,546.47,43
3,ORB,AKAZE,500,0.00727605,0.00106063,53.9246,546.47,45
4,ORB,AKAZE,500,0.00732771,0.000547679,53.9246,546.47,59
5,ORB,AKAZE,500,0.0073643,0.000653663,53.9246,546.47,53
6,ORB,AKAZE,500,0.00743888,0.000606088,53.9246,546.47,78
7,ORB,AKAZE,500,0.00752356,0.000701451,53.9246,546.47,68
8,ORB,AKAZE,500,0.00740873,0.0006556,53.9246,546.47,84
9,ORB,AKAZE,500,0.00786379,0.000625424,53.9246,546.47,66
0,ORB,SIFT,500,0.00774714,0.000525365,53.9246,546.47,0
1,ORB,SIFT,500,0.0073154,0.000536981,53.9246,546.47,49
2,ORB,SIFT,500,0.00727927,0.000521778,53.9246,546.47,43
3,ORB,SIFT,500,0.00807621,0.000688312,53.9246,546.47,45
4,ORB,SIFT,500,0.00756376,0.00055662,53.9246,546.47,59
5,ORB,SIFT,500,0.00755483,0.000592164,53.9246,546.47,53
6,ORB,SIFT,500,0.00939743,0.000719545,53.9246,546.47,78
7,ORB,SIFT,500,0.00736818,0.000631095,53.9246,546.47,68
8,ORB,SIFT,500,0.00760036,0.000605,53.9246,546.47,84
9,ORB,SIFT,500,0.00853157,0.00206666,53.9246,546.47,66
0,AKAZE,BRISK,1351,0.0956564,0.00305972,7.43808,10.1992,0
1,AKAZE,BRISK,1327,0.0818981,0.00182401,7.36395,9.66334,137
2,AKAZE,BRISK,1311,0.0879876,0.001969,7.40696,9.79896,125
3,AKAZE,BRISK,1351,0.0855511,0.00181754,7.38975,9.27583,129
4,AKAZE,BRISK,1360,0.0838767,0.00286769,7.49947,10.03,129
5,AKAZE,BRISK,1347,0.0811345,0.00191989,7.50918,9.9135,131
6,AKAZE,BRISK,1363,0.0861469,0.00203421,7.56309,10.5411,132
7,AKAZE,BRISK,1331,0.0856128,0.00287194,7.58425,10.3253,142
8,AKAZE,BRISK,1357,0.0847049,0.00220074,7.57041,9.71138,146
9,AKAZE,BRISK,1331,0.0913998,0.00210086,7.50518,9.71664,144
0,AKAZE,BRIEF,1351,0.085406,0.0047453,7.43808,10.1992,0
1,AKAZE,BRIEF,1327,0.0851227,0.00353445,7.36395,9.66334,131
2,AKAZE,BRIEF,1311,0.0849445,0.00346073,7.40696,9.79896,129
3,AKAZE,BRIEF,1351,0.0789061,0.00493629,7.38975,9.27583,127
4,AKAZE,BRIEF,1360,0.0896142,0.00435126,7.49947,10.03,117
5,AKAZE,BRIEF,1347,0.084962,0.00426716,7.50918,9.9135,130
6,AKAZE,BRIEF,1363,0.0866442,0.00460232,7.56309,10.5411,131
7,AKAZE,BRIEF,1331,0.0857731,0.00399587,7.58425,10.3253,137
8,AKAZE,BRIEF,1357,0.0910196,0.00398308,7.57041,9.71138,135
9,AKAZE,BRIEF,1331,0.0879498,0.00332802,7.50518,9.71664,145
0,AKAZE,ORB,1351,0.0857928,0.00217277,7.43808,10.1992,0
1,AKAZE,ORB,1327,0.0831465,0.00167586,7.36395,9.66334,141
2,AKAZE,ORB,1311,0.0878021,0.00143888,7.40696,9.79896,134
3,AKAZE,ORB,1351,0.0887627,0.000948682,7.38975,9.27583,131
4,AKAZE,ORB,1360,0.0852094,0.000870323,7.49947,10.03,130
5,AKAZE,ORB,1347,0.0864193,0.00143926,7.50918,9.9135,134
6,AKAZE,ORB,1363,0.0813081,0.00159581,7.56309,10.5411,146
7,AKAZE,ORB,1331,0.0844095,0.000899482,7.58425,10.3253,150
8,AKAZE,ORB,1357,0.0889205,0.000923568,7.57041,9.71138,148
9,AKAZE,ORB,1331,0.0858332,0.00194326,7.50518,9.71664,152
0,AKAZE,FREAK,1351,0.0855912,0.00174239,7.43808,10.1992,0
1,AKAZE,FREAK,1327,0.08247,0.000857891,7.36395,9.66334,141
2,AKAZE,FREAK,1311,0.0869331,0.00149588,7.40696,9.79896,134
3,AKAZE,FREAK,1351,0.0825278,0.00262323,7.38975,9.27583,131
4,AKAZE,FREAK,1360,0.0839004,0.00148533,7.49947,10.03,130
5,AKAZE,FREAK,1347,0.0834815,0.000883143,7.50918,9.9135,134
6,AKAZE,FREAK,1363,0.085491,0.00261917,7.56309,10.5411,146
7,AKAZE,FREAK,1331,0.0860237,0.00128581,7.58425,10.3253,150
8,AKAZE,FREAK,1357,0.0879495,0.000950863,7.57041,9.71138,148
9,AKAZE,FREAK,1331,0.0812623,0.000911609,7.50518,9.71664,152
0,AKAZE,AKAZE,1351,0.0816771,0.00143955,7.43808,10.1992,0
1,AKAZE,AKAZE,1327,0.0887146,0.000829842,7.36395,9.66334,141
2,AKAZE,AKAZE,1311,0.0877574,0.000845408,7.40696,9.79896,134
3,AKAZE,AKAZE,1351,0.0895842,0.00153915,7.38975,9.27583,131
4,AKAZE,AKAZE,1360,0.0799162,0.00150677,7.49947,10.03,130
5,AKAZE,AKAZE,1347,0.0837636,0.00164454,7.50918,9.9135,134
6,AKAZE,AKAZE,1363,0.0900968,0.00273039,7.56309,10.5411,146
7,AKAZE,AKAZE,1331,0.0859557,0.000906358,7.58425,10.3253,150
8,AKAZE,AKAZE,1357,0.0840845,0.00171473,7.57041,9.71138,148
9,AKAZE,AKAZE,1331,0.0856111,0.00107447,7.50518,9.71664,152
0,AKAZE,SIFT,1351,0.0830625,0.00144703,7.43808,10.1992,0
1,AKAZE,SIFT,1327,0.0874616,0.000849814,7.36395,9.66334,141
2,AKAZE,SIFT,1311,0.0902325,0.00142935,7.40696,9.79896,134
3,AKAZE,SIFT,1351,0.0813001,0.000818706,7.38975,9.27583,131
4,AKAZE,SIFT,1360,0.0856675,0.00149474,7.49947,10.03,130
5,AKAZE,SIFT,1347,0.0836706,0.000900515,7.50918,9.9135,134
6,AKAZE,SIFT,1363,0.083037,0.00167968,7.56309,10.5411,146
7,AKAZE,SIFT,1331,0.0836282,0.00091337,7.58425,10.3253,150
8,AKAZE,SIFT,1357,0.0889111,0.00100625,7.57041,9.71138,148
9,AKAZE,SIFT,1331,0.0779718,0.000913982,7.50518,9.71664,152
0,SIFT,BRISK,1438,0.135139,0.00176957,5.24393,52.8125,0
1,SIFT,BRISK,1371,0.130223,0.00158544,5.09669,51.6905,64
2,SIFT,BRISK,1380,0.131211,0.0015703,4.97482,36.4335,66
3,SIFT,BRISK,1335,0.133792,0.00179027,5.03179,43.5214,62
4,SIFT,BRISK,1305,0.135646,0.00164764,5.01791,50.9573,66
5,SIFT,BRISK,1370,0.131487,0.00166352,4.8532,33.5348,59
6,SIFT,BRISK,1396,0.128382,0.00161673,5.0792,43.8465,64
7,SIFT,BRISK,1382,0.131329,0.00171995,5.07135,44.5946,64
8,SIFT,BRISK,1463,0.130186,0.00186385,4.9891,40.3275,67
9,SIFT,BRISK,1422,0.136043,0.00174278,4.93953,39.4295,80
0,SIFT,ORB,1438,0.132717,0.000763045,5.24393,52.8125,0
1,SIFT,ORB,1371,0.130873,0.000779485,5.09669,51.6905,86
2,SIFT,ORB,1380,0.12815,0.000769321,4.97482,36.4335,78
3,SIFT,ORB,1335,0.131113,0.00075694,5.03179,43.5214,76
4,SIFT,ORB,1305,0.132784,0.000808151,5.01791,50.9573,85
5,SIFT,ORB,1370,0.133683,0.000762336,4.8532,33.5348,69
6,SIFT,ORB,1396,0.132636,0.00076793,5.0792,43.8465,74
7,SIFT,ORB,1382,0.133299,0.00135903,5.07135,44.5946,76
8,SIFT,ORB,1463,0.134403,0.0014334,4.9891,40.3275,70
9,SIFT,ORB,1422,0.133013,0.000785818,4.93953,39.4295,88
0,SIFT,FREAK,1438,0.133783,0.000827298,5.24393,52.8125,0
1,SIFT,FREAK,1371,0.131693,0.000836332,5.09669,51.6905,86
2,SIFT,FREAK,1380,0.129516,0.00113973,4.97482,36.4335,78
3,SIFT,FREAK,1335,0.137099,0.00132803,5.03179,43.5214,76
4,SIFT,FREAK,1305,0.136988,0.00110252,5.01791,50.9573,85
5,SIFT,FREAK,1370,0.134374,0.00131628,4.8532,33.5348,69
6,SIFT,FREAK,1396,0.133021,0.000963139,5.0792,43.8465,74
7,SIFT,FREAK,1382,0.134476,0.000845383,5.07135,44.5946,76
8,SIFT,FREAK,1463,0.130524,0.00087395,4.9891,40.3275,70
9,SIFT,FREAK,1422,0.134709,0.000885813,4.93953,39.4295,88
0,SIFT,AKAZE,1438,0.132338,0.00106393,5.24393,52.8125,0
1,SIFT,AKAZE,1371,0.132349,0.000748759,5.09669,51.6905,86
2,SIFT,AKAZE,1380,0.131703,0.000778691,4.97482,36.4335,78
3,SIFT,AKAZE,1335,0.13614,0.000859935,5.03179,43.5214,76
4,SIFT,AKAZE,1305,0.133862,0.00116341,5.01791,50.9573,85
5,SIFT,AKAZE,1370,0.133109,0.00129317,4.8532,33.5348,69
6,SIFT,AKAZE,1396,0.135381,0.00111579,5.0792,43.8465,74
7,SIFT,AKAZE,1382,0.134834,0.00133827,5.07135,44.5946,76
8,SIFT,AKAZE,1463,0.134844,0.00143198,4.9891,40.3275,70
9,SIFT,AKAZE,1422,0.133962,0.000905909,4.93953,39.4295,88
0,SIFT,SIFT,1438,0.133548,0.00134368,5.24393,52.8125,0
1,SIFT,SIFT,1371,0.133009,0.000991346,5.09669,51.6905,86
2,SIFT,SIFT,1380,0.137924,0.00118245,4.97482,36.4335,78
3,SIFT,SIFT,1335,0.137751,0.0012629,5.03179,43.5214,76
4,SIFT,SIFT,1305,0.133392,0.000892869,5.01791,50.9573,85
5,SIFT,SIFT,1370,0.131929,0.0013538,4.8532,33.5348,69
6,SIFT,SIFT,1396,0.13348,0.000785819,5.0792,43.8465,74
7,SIFT,SIFT,1382,0.136505,0.0013377,5.07135,44.5946,76
8,SIFT,SIFT,1463,0.138402,0.00142756,4.9891,40.3275,70
9,SIFT,SIFT,1422,0.13575,0.00079088,4.93953,39.4295,88
